                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0094,                 2.5914,                 1.2904,                0.64321,                0.60966,                0.64194,                0.42871,                 1.0767,                 1.6165,                 1.2924,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.1214,                  2.061,                 1.3731,                0.56483,                 0.5545,                0.55647,                0.34691,                 1.1931,                 1.6816,                 1.3863,              0.0065331,              0.0065331,              0.0065331
                      3,                 1.2311,                 2.1902,                 1.4612,                0.43768,                0.39547,                0.36245,                0.20587,                 1.3809,                 2.0902,                 1.5701,              0.0096025,              0.0096025,              0.0096025
                      4,                 1.3084,                 2.2433,                 1.5322,                0.49337,                0.47901,                0.46121,                0.27178,                 1.3377,                 1.7978,                 1.5579,               0.009406,               0.009406,               0.009406
                      5,                 1.2576,                 2.0256,                 1.4948,                 0.5813,                0.52324,                0.53738,                0.32792,                  1.282,                 1.5769,                 1.5104,               0.009208,               0.009208,               0.009208
                      6,                 1.2224,                 1.9041,                 1.4679,                0.58521,                0.53386,                0.54616,                0.33744,                 1.2476,                 1.5371,                 1.4751,                0.00901,                0.00901,                0.00901
                      7,                  1.194,                 1.8001,                 1.4458,                0.61974,                0.56717,                0.59685,                0.38079,                 1.1916,                 1.4023,                  1.419,               0.008812,               0.008812,               0.008812
                      8,                 1.1704,                  1.743,                 1.4344,                0.65528,                 0.5855,                0.63036,                0.41673,                 1.1478,                 1.3611,                 1.3924,               0.008614,               0.008614,               0.008614
                      9,                 1.1475,                  1.677,                 1.4184,                0.68485,                0.59564,                0.65806,                0.43475,                 1.1474,                 1.3104,                 1.3879,               0.008416,               0.008416,               0.008416
                     10,                  1.134,                 1.6374,                  1.402,                0.69274,                0.60059,                0.66229,                0.44747,                 1.1151,                 1.2638,                 1.3558,               0.008218,               0.008218,               0.008218
                     11,                 1.1205,                 1.5942,                 1.3955,                0.71399,                0.60997,                0.68146,                0.46098,                 1.0997,                 1.2135,                 1.3411,                0.00802,                0.00802,                0.00802
                     12,                 1.1057,                 1.5503,                 1.3826,                0.72114,                0.62396,                0.70125,                0.47997,                 1.0852,                 1.1795,                 1.3361,               0.007822,               0.007822,               0.007822
                     13,                 1.0929,                 1.5159,                 1.3727,                0.72402,                0.63951,                  0.709,                0.48475,                 1.0764,                 1.1531,                 1.3264,               0.007624,               0.007624,               0.007624
                     14,                 1.0763,                 1.4815,                 1.3587,                0.73502,                0.63329,                0.71701,                 0.4908,                 1.0645,                   1.14,                 1.3142,               0.007426,               0.007426,               0.007426
                     15,                 1.0632,                  1.453,                 1.3501,                 0.7274,                0.64605,                0.72074,                0.49887,                 1.0513,                 1.0914,                  1.303,               0.007228,               0.007228,               0.007228
                     16,                 1.0561,                 1.4256,                 1.3425,                0.74111,                 0.6512,                0.72673,                0.50404,                 1.0411,                 1.0963,                 1.2853,                0.00703,                0.00703,                0.00703
                     17,                 1.0533,                 1.4164,                 1.3444,                0.75528,                0.66701,                0.74668,                0.52372,                 1.0277,                  1.055,                 1.2758,               0.006832,               0.006832,               0.006832
                     18,                 1.0423,                 1.3868,                  1.333,                0.75214,                0.66102,                0.74017,                0.51866,                 1.0219,                 1.0478,                 1.2747,               0.006634,               0.006634,               0.006634
                     19,                 1.0331,                 1.3643,                 1.3268,                0.75857,                0.67666,                0.75741,                0.53604,                 1.0152,                 1.0186,                 1.2671,               0.006436,               0.006436,               0.006436
                     20,                  1.024,                 1.3523,                 1.3212,                0.76646,                 0.6813,                0.76296,                0.54318,                 1.0081,                 1.0022,                 1.2569,               0.006238,               0.006238,               0.006238
                     21,                 1.0143,                 1.3332,                 1.3149,                0.77508,                0.68015,                0.76473,                0.54509,                0.99675,                0.99005,                 1.2576,                0.00604,                0.00604,                0.00604
                     22,                 1.0069,                 1.3182,                 1.3095,                0.78619,                0.68044,                0.77264,                 0.5548,                0.98751,                0.97552,                 1.2414,               0.005842,               0.005842,               0.005842
                     23,                 1.0015,                 1.2881,                 1.3033,                0.76219,                0.70313,                0.77795,                 0.5597,                0.98616,                 0.9623,                 1.2392,               0.005644,               0.005644,               0.005644
                     24,                0.99294,                 1.2841,                 1.2941,                0.76734,                  0.708,                0.78021,                0.56169,                0.97899,                 0.9558,                 1.2322,               0.005446,               0.005446,               0.005446
                     25,                0.99035,                 1.2636,                 1.2935,                0.77963,                  0.702,                0.78311,                0.56403,                0.97591,                0.93931,                 1.2317,               0.005248,               0.005248,               0.005248
                     26,                0.98384,                 1.2516,                 1.2892,                0.78224,                0.70761,                0.78884,                0.57209,                0.96909,                0.93262,                  1.225,                0.00505,                0.00505,                0.00505
                     27,                0.97185,                 1.2296,                 1.2822,                0.77885,                0.71388,                0.79077,                0.57573,                0.96577,                0.91439,                 1.2218,               0.004852,               0.004852,               0.004852
                     28,                0.97255,                 1.2155,                 1.2795,                0.78613,                0.71195,                0.79384,                0.57899,                0.96104,                0.90984,                 1.2167,               0.004654,               0.004654,               0.004654
                     29,                0.96666,                 1.2051,                 1.2729,                0.78769,                 0.7153,                0.79497,                0.57842,                0.95775,                0.90835,                  1.212,               0.004456,               0.004456,               0.004456
                     30,                 0.9568,                 1.1971,                 1.2703,                0.78534,                0.72271,                0.79731,                0.58324,                0.95153,                0.89394,                 1.2072,               0.004258,               0.004258,               0.004258
                     31,                0.95489,                 1.1911,                 1.2697,                0.78877,                0.71945,                0.80029,                0.58565,                0.94822,                0.89164,                 1.2049,                0.00406,                0.00406,                0.00406
                     32,                0.94534,                 1.1656,                 1.2606,                0.80359,                0.71752,                0.80586,                0.59137,                0.94742,                0.87922,                 1.2043,               0.003862,               0.003862,               0.003862
                     33,                0.93976,                 1.1456,                 1.2557,                0.78016,                0.73819,                 0.8086,                 0.5928,                0.94412,                 0.8742,                 1.2015,               0.003664,               0.003664,               0.003664
                     34,                 0.9333,                 1.1391,                 1.2493,                0.79606,                0.72495,                0.80871,                0.59535,                0.94054,                0.86931,                 1.1983,               0.003466,               0.003466,               0.003466
                     35,                0.92887,                 1.1284,                 1.2519,                0.80628,                0.72446,                0.81196,                0.59761,                0.93634,                0.85851,                 1.1954,               0.003268,               0.003268,               0.003268
                     36,                0.92243,                 1.1114,                 1.2451,                0.80192,                0.72498,                0.81035,                0.59898,                0.93394,                0.85891,                 1.1926,                0.00307,                0.00307,                0.00307
                     37,                0.91824,                 1.1026,                 1.2399,                 0.8059,                 0.7245,                 0.8109,                0.59895,                0.92956,                0.86133,                 1.1892,               0.002872,               0.002872,               0.002872
                     38,                0.91383,                 1.0919,                 1.2372,                0.80534,                0.73431,                0.81542,                0.60219,                0.92876,                0.85392,                 1.1884,               0.002674,               0.002674,               0.002674
                     39,                0.90724,                 1.0807,                 1.2339,                0.81138,                0.73022,                0.81735,                0.60423,                0.92624,                0.84844,                 1.1881,               0.002476,               0.002476,               0.002476
                     40,                0.89522,                 1.0561,                 1.2229,                0.80616,                0.73381,                0.81946,                0.60684,                0.92464,                 0.8448,                 1.1866,               0.002278,               0.002278,               0.002278
                     41,                0.86748,                 0.9086,                 1.2134,                0.79684,                0.74012,                0.81671,                 0.6058,                0.92372,                0.84142,                  1.187,                0.00208,                0.00208,                0.00208
                     42,                0.84721,                0.86787,                 1.1976,                0.78964,                0.75018,                0.82006,                0.60968,                0.92112,                0.83353,                 1.1846,               0.001882,               0.001882,               0.001882
                     43,                0.83896,                0.84763,                 1.1867,                0.80871,                0.73805,                0.82035,                0.60923,                0.91992,                0.82824,                 1.1836,               0.001684,               0.001684,               0.001684
                     44,                0.82657,                 0.8256,                 1.1787,                0.80122,                0.74031,                0.82094,                0.61103,                0.91874,                0.82554,                  1.183,               0.001486,               0.001486,               0.001486
                     45,                0.82251,                0.81496,                 1.1742,                0.80063,                0.73667,                0.82099,                0.61056,                0.91673,                0.82293,                 1.1804,               0.001288,               0.001288,               0.001288
                     46,                 0.8111,                0.79606,                 1.1669,                0.80358,                0.73812,                0.82157,                0.61186,                0.91634,                0.82028,                 1.1804,                0.00109,                0.00109,                0.00109
                     47,                0.80024,                0.78172,                 1.1618,                0.79634,                0.74359,                0.82093,                0.61147,                0.91607,                0.81964,                 1.1806,               0.000892,               0.000892,               0.000892
                     48,                0.79261,                0.76496,                 1.1552,                0.81808,                0.72728,                0.82041,                 0.6121,                0.91554,                0.81867,                 1.1806,               0.000694,               0.000694,               0.000694
                     49,                0.78681,                 0.7552,                 1.1491,                 0.8125,                0.72968,                0.81999,                0.61283,                 0.9152,                0.81826,                 1.1801,               0.000496,               0.000496,               0.000496
                     50,                0.78203,                0.74116,                  1.144,                0.80775,                0.73495,                0.82065,                0.61308,                0.91531,                0.81692,                 1.1798,               0.000298,               0.000298,               0.000298
